"html_url","type","name","company","blog","location","bio","public_repos","followers","created_at","updated_at"
"https://github.com/museum","User",,,,,,"0","0","2012-11-29T16:47:37Z","2015-04-07T17:41:32Z"
"https://github.com/museumvictoria","Organization","Museum Victoria",,"http://museumvictoria.com.au/","Melbourne, Australia",,"10","0","2012-11-20T01:45:53Z","2016-02-27T04:41:18Z"
"https://github.com/NaturalHistoryMuseum","Organization","Natural History Museum",,"http://nhm-informatics.github.io","London",,"72","0","2013-08-19T10:42:47Z","2015-11-24T14:05:07Z"
"https://github.com/scimusmn","Organization","Science Museum of Minnesota",,"http://www.smm.org","Saint Paul, MN",,"139","0","2011-05-09T21:43:33Z","2016-03-30T10:00:17Z"
"https://github.com/MuseumID","User","MuseumID",,"http://museumid.net",,,"1","3","2011-03-15T13:02:32Z","2016-02-27T00:00:04Z"
"https://github.com/museum10","User",,,,,,"9","1","2013-11-09T00:36:41Z","2016-02-27T05:28:29Z"
"https://github.com/museum-of-vertebrate-zoology","Organization","Museum of Vertebrate Zoology",,"http://mvz.berkeley.edu","Berkeley, CA, USA",,"9","0","2013-08-30T18:02:08Z","2016-03-22T20:23:11Z"
"https://github.com/bartoncountyhistorical","User","Barton County Historical Society",,"http://bartoncountyhistorical.org","Lamar, Missouri",,"1","0","2012-01-12T14:45:45Z","2015-04-07T15:23:27Z"
"https://github.com/brooklynmuseum","Organization","Brooklyn Museum",,"http://www.brooklynmuseum.org/","Brooklyn, NY","Brooklyn Museum Technology Team","7","0","2010-10-08T22:28:22Z","2016-03-25T20:21:57Z"
"https://github.com/MuseumTour","Organization","Museum Tour Games",,,,,"2","0","2013-06-25T14:37:16Z","2016-02-27T09:35:32Z"
"https://github.com/museum","User",,,,,,"0","0","2012-11-29T16:47:37Z","2015-04-07T17:41:32Z"
"https://github.com/museumvictoria","Organization","Museum Victoria",,"http://museumvictoria.com.au/","Melbourne, Australia",,"10","0","2012-11-20T01:45:53Z","2016-02-27T04:41:18Z"
