"login","id","avatar_url","gravatar_id","url","html_url","followers_url","following_url","gists_url","starred_url","subscriptions_url","organizations_url","repos_url","events_url","received_events_url","type","site_admin","score"
"museum",2923223,"https://avatars.githubusercontent.com/u/2923223?v=3","","https://api.github.com/users/museum","https://github.com/museum","https://api.github.com/users/museum/followers","https://api.github.com/users/museum/following{/other_user}","https://api.github.com/users/museum/gists{/gist_id}","https://api.github.com/users/museum/starred{/owner}{/repo}","https://api.github.com/users/museum/subscriptions","https://api.github.com/users/museum/orgs","https://api.github.com/users/museum/repos","https://api.github.com/users/museum/events{/privacy}","https://api.github.com/users/museum/received_events","User",FALSE,16.5562
"museumvictoria",2839634,"https://avatars.githubusercontent.com/u/2839634?v=3","","https://api.github.com/users/museumvictoria","https://github.com/museumvictoria","https://api.github.com/users/museumvictoria/followers","https://api.github.com/users/museumvictoria/following{/other_user}","https://api.github.com/users/museumvictoria/gists{/gist_id}","https://api.github.com/users/museumvictoria/starred{/owner}{/repo}","https://api.github.com/users/museumvictoria/subscriptions","https://api.github.com/users/museumvictoria/orgs","https://api.github.com/users/museumvictoria/repos","https://api.github.com/users/museumvictoria/events{/privacy}","https://api.github.com/users/museumvictoria/received_events","Organization",FALSE,12.478669
"NaturalHistoryMuseum",5260760,"https://avatars.githubusercontent.com/u/5260760?v=3","","https://api.github.com/users/NaturalHistoryMuseum","https://github.com/NaturalHistoryMuseum","https://api.github.com/users/NaturalHistoryMuseum/followers","https://api.github.com/users/NaturalHistoryMuseum/following{/other_user}","https://api.github.com/users/NaturalHistoryMuseum/gists{/gist_id}","https://api.github.com/users/NaturalHistoryMuseum/starred{/owner}{/repo}","https://api.github.com/users/NaturalHistoryMuseum/subscriptions","https://api.github.com/users/NaturalHistoryMuseum/orgs","https://api.github.com/users/NaturalHistoryMuseum/repos","https://api.github.com/users/NaturalHistoryMuseum/events{/privacy}","https://api.github.com/users/NaturalHistoryMuseum/received_events","Organization",FALSE,11.542621
"scimusmn",777830,"https://avatars.githubusercontent.com/u/777830?v=3","","https://api.github.com/users/scimusmn","https://github.com/scimusmn","https://api.github.com/users/scimusmn/followers","https://api.github.com/users/scimusmn/following{/other_user}","https://api.github.com/users/scimusmn/gists{/gist_id}","https://api.github.com/users/scimusmn/starred{/owner}{/repo}","https://api.github.com/users/scimusmn/subscriptions","https://api.github.com/users/scimusmn/orgs","https://api.github.com/users/scimusmn/repos","https://api.github.com/users/scimusmn/events{/privacy}","https://api.github.com/users/scimusmn/received_events","Organization",FALSE,11.542621
"MuseumID",670952,"https://avatars.githubusercontent.com/u/670952?v=3","","https://api.github.com/users/MuseumID","https://github.com/MuseumID","https://api.github.com/users/MuseumID/followers","https://api.github.com/users/MuseumID/following{/other_user}","https://api.github.com/users/MuseumID/gists{/gist_id}","https://api.github.com/users/MuseumID/starred{/owner}{/repo}","https://api.github.com/users/MuseumID/subscriptions","https://api.github.com/users/MuseumID/orgs","https://api.github.com/users/MuseumID/repos","https://api.github.com/users/MuseumID/events{/privacy}","https://api.github.com/users/MuseumID/received_events","User",FALSE,10.918836
"museum10",5893028,"https://avatars.githubusercontent.com/u/5893028?v=3","","https://api.github.com/users/museum10","https://github.com/museum10","https://api.github.com/users/museum10/followers","https://api.github.com/users/museum10/following{/other_user}","https://api.github.com/users/museum10/gists{/gist_id}","https://api.github.com/users/museum10/starred{/owner}{/repo}","https://api.github.com/users/museum10/subscriptions","https://api.github.com/users/museum10/orgs","https://api.github.com/users/museum10/repos","https://api.github.com/users/museum10/events{/privacy}","https://api.github.com/users/museum10/received_events","User",FALSE,10.918836
"museum-of-vertebrate-zoology",5348713,"https://avatars.githubusercontent.com/u/5348713?v=3","","https://api.github.com/users/museum-of-vertebrate-zoology","https://github.com/museum-of-vertebrate-zoology","https://api.github.com/users/museum-of-vertebrate-zoology/followers","https://api.github.com/users/museum-of-vertebrate-zoology/following{/other_user}","https://api.github.com/users/museum-of-vertebrate-zoology/gists{/gist_id}","https://api.github.com/users/museum-of-vertebrate-zoology/starred{/owner}{/repo}","https://api.github.com/users/museum-of-vertebrate-zoology/subscriptions","https://api.github.com/users/museum-of-vertebrate-zoology/orgs","https://api.github.com/users/museum-of-vertebrate-zoology/repos","https://api.github.com/users/museum-of-vertebrate-zoology/events{/privacy}","https://api.github.com/users/museum-of-vertebrate-zoology/received_events","Organization",FALSE,10.918836
"bartoncountyhistorical",1324921,"https://avatars.githubusercontent.com/u/1324921?v=3","","https://api.github.com/users/bartoncountyhistorical","https://github.com/bartoncountyhistorical","https://api.github.com/users/bartoncountyhistorical/followers","https://api.github.com/users/bartoncountyhistorical/following{/other_user}","https://api.github.com/users/bartoncountyhistorical/gists{/gist_id}","https://api.github.com/users/bartoncountyhistorical/starred{/owner}{/repo}","https://api.github.com/users/bartoncountyhistorical/subscriptions","https://api.github.com/users/bartoncountyhistorical/orgs","https://api.github.com/users/bartoncountyhistorical/repos","https://api.github.com/users/bartoncountyhistorical/events{/privacy}","https://api.github.com/users/bartoncountyhistorical/received_events","User",FALSE,10.660183
"brooklynmuseum",432971,"https://avatars.githubusercontent.com/u/432971?v=3","","https://api.github.com/users/brooklynmuseum","https://github.com/brooklynmuseum","https://api.github.com/users/brooklynmuseum/followers","https://api.github.com/users/brooklynmuseum/following{/other_user}","https://api.github.com/users/brooklynmuseum/gists{/gist_id}","https://api.github.com/users/brooklynmuseum/starred{/owner}{/repo}","https://api.github.com/users/brooklynmuseum/subscriptions","https://api.github.com/users/brooklynmuseum/orgs","https://api.github.com/users/brooklynmuseum/repos","https://api.github.com/users/brooklynmuseum/events{/privacy}","https://api.github.com/users/brooklynmuseum/received_events","Organization",FALSE,9.618851
"MuseumTour",4819827,"https://avatars.githubusercontent.com/u/4819827?v=3","","https://api.github.com/users/MuseumTour","https://github.com/MuseumTour","https://api.github.com/users/MuseumTour/followers","https://api.github.com/users/MuseumTour/following{/other_user}","https://api.github.com/users/MuseumTour/gists{/gist_id}","https://api.github.com/users/MuseumTour/starred{/owner}{/repo}","https://api.github.com/users/MuseumTour/subscriptions","https://api.github.com/users/MuseumTour/orgs","https://api.github.com/users/MuseumTour/repos","https://api.github.com/users/MuseumTour/events{/privacy}","https://api.github.com/users/MuseumTour/received_events","Organization",FALSE,7.799168
